EV	ER	Voc. Overlap	ENTR	S1	S2	IE_S1	ER_S1	IE_S2	ER_S2	SR/S1/ER	SR/S1/ENTR	SR/S2/ER	SR/S2/ENTR	dialogue_count	mname	history_length	num_samples	weight	topk
0.11	0.26	0.25	0.66	Human 1	Human 2	0.64	0.20	0.36	0.28	0.22	0.59	0.52	0.98	0	facebook/blenderbot-3B	6	10	25	20
0.13	0.24	0.31	1.44	Human 1	Human 2	0.50	0.18	0.50	0.27	0.08	0.00	0.51	1.29	1	facebook/blenderbot-3B	6	10	25	20
0.14	0.26	0.27	1.05	Human 1	Human 2	0.62	0.17	0.38	0.33	0.32	0.43	0.48	0.95	2	facebook/blenderbot-3B	6	10	25	20
0.11	0.24	0.20	0.65	Human 1	Human 2	0.77	0.11	0.23	0.36	0.30	0.64	0.43	0.82	3	facebook/blenderbot-3B	6	10	25	20
0.16	0.31	0.34	1.21	Human 1	Human 2	0.89	0.09	0.11	0.50	0.17	0.00	0.38	0.74	4	facebook/blenderbot-3B	6	10	25	20
0.10	0.24	0.23	1.00	Human 1	Human 2	0.75	0.15	0.25	0.33	0.23	0.00	0.44	1.18	5	facebook/blenderbot-3B	6	10	25	20
0.11	0.30	0.22	0.98	Human 1	Human 2	0.64	0.24	0.36	0.33	0.24	0.59	0.51	1.10	6	facebook/blenderbot-3B	6	10	25	20
0.11	0.26	0.23	0.81	Human 1	Human 2	0.69	0.15	0.31	0.34	0.30	0.85	0.48	1.08	7	facebook/blenderbot-3B	6	10	25	20
0.13	0.30	0.24	0.85	Human 1	Human 2	0.69	0.23	0.31	0.36	0.38	0.59	0.47	0.67	8	facebook/blenderbot-3B	6	10	25	20
0.13	0.32	0.26	0.86	Human 1	Human 2	0.60	0.23	0.40	0.44	0.38	1.01	0.50	0.84	9	facebook/blenderbot-3B	6	10	25	20
0.12	0.25	0.27	0.78	Human 1	Human 2	0.82	0.09	0.18	0.37	0.26	0.40	0.42	1.19	10	facebook/blenderbot-3B	6	10	25	20
0.12	0.33	0.24	0.51	Human 1	Human 2	0.63	0.30	0.38	0.37	0.39	0.40	0.41	1.18	11	facebook/blenderbot-3B	6	10	25	20
0.13	0.29	0.26	0.94	Human 1	Human 2	0.63	0.19	0.37	0.36	0.37	0.98	0.49	0.65	12	facebook/blenderbot-3B	6	10	25	20
0.12	0.28	0.25	0.99	Human 1	Human 2	0.72	0.16	0.28	0.37	0.36	0.50	0.49	1.50	13	facebook/blenderbot-3B	6	10	25	20
0.12	0.29	0.24	1.08	Human 1	Human 2	0.56	0.27	0.44	0.30	0.38	1.05	0.51	0.96	14	facebook/blenderbot-3B	6	10	25	20
0.13	0.22	0.24	0.73	Human 1	Human 2	0.42	0.20	0.58	0.25	0.21	0.00	0.41	0.84	15	facebook/blenderbot-3B	6	10	25	20
0.10	0.21	0.19	0.46	Human 1	Human 2	0.61	0.17	0.39	0.24	0.27	0.76	0.40	0.86	16	facebook/blenderbot-3B	6	10	25	20
0.12	0.22	0.26	0.88	Human 1	Human 2	0.87	0.05	0.13	0.30	0.25	0.00	0.49	0.93	17	facebook/blenderbot-3B	6	10	25	20
0.10	0.24	0.20	0.98	Human 1	Human 2	0.39	0.22	0.61	0.26	0.31	0.87	0.31	1.67	18	facebook/blenderbot-3B	6	10	25	20
0.12	0.32	0.27	0.75	Human 1	Human 2	0.59	0.22	0.41	0.39	0.34	0.35	0.47	0.96	19	facebook/blenderbot-3B	6	10	25	20
0.14	0.29	0.28	1.22	Human 1	Human 2	0.63	0.22	0.38	0.38	0.41	1.19	0.36	0.78	20	facebook/blenderbot-3B	6	10	25	20
0.15	0.35	0.29	1.05	Human 1	Human 2	0.66	0.25	0.34	0.42	0.24	0.00	0.47	0.88	21	facebook/blenderbot-3B	6	10	25	20
0.11	0.24	0.23	0.96	Human 1	Human 2	0.46	0.20	0.54	0.26	0.23	0.00	0.40	1.01	22	facebook/blenderbot-3B	6	10	25	20
0.13	0.28	0.27	1.25	Human 1	Human 2	0.62	0.23	0.38	0.35	0.36	1.14	0.41	0.95	23	facebook/blenderbot-3B	6	10	25	20
0.11	0.21	0.20	0.61	Human 1	Human 2	0.65	0.18	0.35	0.22	0.19	0.81	0.50	0.84	24	facebook/blenderbot-3B	6	10	25	20
0.14	0.29	0.25	1.85	Human 1	Human 2	0.77	0.11	0.23	0.43	0.36	1.43	0.49	1.14	25	facebook/blenderbot-3B	6	10	25	20
0.14	0.31	0.26	0.96	Human 1	Human 2	0.67	0.20	0.33	0.37	0.18	0.00	0.45	1.26	26	facebook/blenderbot-3B	6	10	25	20
0.11	0.19	0.18	0.72	Human 1	Human 2	0.75	0.12	0.25	0.24	0.18	0.62	0.36	0.63	27	facebook/blenderbot-3B	6	10	25	20
0.11	0.28	0.22	0.72	Human 1	Human 2	0.59	0.16	0.41	0.43	0.28	0.51	0.48	1.14	28	facebook/blenderbot-3B	6	10	25	20
0.13	0.28	0.26	0.72	Human 1	Human 2	0.71	0.19	0.29	0.38	0.44	0.85	0.43	0.73	29	facebook/blenderbot-3B	6	10	25	20
0.10	0.21	0.19	0.23	Human 1	Human 2	0.67	0.18	0.33	0.23	0.24	0.59	0.42	0.63	30	facebook/blenderbot-3B	6	10	25	20
0.11	0.28	0.23	0.73	Human 1	Human 2	0.69	0.21	0.31	0.35	0.37	0.77	0.43	1.04	31	facebook/blenderbot-3B	6	10	25	20
0.12	0.23	0.27	1.06	Human 1	Human 2	0.81	0.06	0.19	0.36	0.23	0.54	0.41	0.51	32	facebook/blenderbot-3B	6	10	25	20
0.11	0.23	0.23	0.82	Human 1	Human 2	0.67	0.14	0.33	0.35	0.33	0.77	0.42	0.76	33	facebook/blenderbot-3B	6	10	25	20
0.10	0.27	0.20	0.90	Human 1	Human 2	0.65	0.20	0.35	0.34	0.34	0.49	0.44	0.96	34	facebook/blenderbot-3B	6	10	25	20
0.12	0.30	0.24	0.68	Human 1	Human 2	0.52	0.24	0.48	0.34	0.27	0.36	0.45	1.29	35	facebook/blenderbot-3B	6	10	25	20
0.12	0.20	0.23	0.38	Human 1	Human 2	0.68	0.19	0.32	0.20	0.25	0.89	0.32	0.86	36	facebook/blenderbot-3B	6	10	25	20
0.15	0.32	0.29	0.88	Human 1	Human 2	0.79	0.20	0.21	0.46	0.36	0.62	0.51	0.83	37	facebook/blenderbot-3B	6	10	25	20
0.14	0.29	0.25	0.86	Human 1	Human 2	0.58	0.21	0.42	0.36	0.31	0.59	0.45	0.51	38	facebook/blenderbot-3B	6	10	25	20
0.13	0.19	0.24	1.26	Human 1	Human 2	0.44	0.17	0.56	0.23	0.00	0.00	0.00	0.00	39	facebook/blenderbot-3B	6	10	25	20
0.15	0.27	0.23	0.97	Human 1	Human 2	0.72	0.21	0.28	0.30	0.38	0.88	0.36	0.66	40	facebook/blenderbot-3B	6	10	25	20
0.11	0.28	0.24	1.03	Human 1	Human 2	0.55	0.19	0.45	0.40	0.28	0.74	0.53	1.11	41	facebook/blenderbot-3B	6	10	25	20
0.12	0.27	0.24	0.59	Human 1	Human 2	0.63	0.22	0.37	0.33	0.32	0.76	0.42	1.15	42	facebook/blenderbot-3B	6	10	25	20
0.13	0.28	0.26	0.51	Human 1	Human 2	0.83	0.15	0.17	0.40	0.36	1.01	0.44	0.45	43	facebook/blenderbot-3B	6	10	25	20
0.11	0.24	0.21	0.92	Human 1	Human 2	0.48	0.18	0.52	0.26	0.17	0.72	0.51	1.29	44	facebook/blenderbot-3B	6	10	25	20
0.11	0.18	0.19	0.67	Human 1	Human 2	0.41	0.28	0.59	0.14	0.16	0.00	0.51	0.73	45	facebook/blenderbot-3B	6	10	25	20
0.15	0.27	0.24	0.70	Human 1	Human 2	0.85	0.08	0.15	0.49	0.26	0.33	0.48	0.77	46	facebook/blenderbot-3B	6	10	25	20
0.15	0.27	0.30	1.07	Human 1	Human 2	0.50	0.30	0.50	0.25	0.25	0.95	0.36	1.00	47	facebook/blenderbot-3B	6	10	25	20
0.12	0.26	0.26	0.63	Human 1	Human 2	0.79	0.14	0.21	0.34	0.27	0.40	0.43	0.74	48	facebook/blenderbot-3B	6	10	25	20
0.15	0.30	0.28	1.08	Human 1	Human 2	0.62	0.21	0.38	0.38	0.34	0.64	0.53	1.16	49	facebook/blenderbot-3B	6	10	25	20
0.13	0.24	0.26	0.64	Human 1	Human 2	0.67	0.17	0.33	0.32	0.26	0.61	0.25	0.44	50	facebook/blenderbot-3B	6	10	25	20
0.13	0.29	0.27	0.94	Human 1	Human 2	0.66	0.19	0.34	0.40	0.33	0.44	0.47	0.77	51	facebook/blenderbot-3B	6	10	25	20
0.14	0.31	0.26	0.91	Human 1	Human 2	0.65	0.22	0.35	0.38	0.43	0.66	0.52	0.73	52	facebook/blenderbot-3B	6	10	25	20
0.13	0.28	0.26	0.79	Human 1	Human 2	0.63	0.22	0.37	0.33	0.41	1.24	0.51	0.68	53	facebook/blenderbot-3B	6	10	25	20
0.14	0.29	0.28	1.00	Human 1	Human 2	0.67	0.22	0.33	0.34	0.32	0.30	0.55	1.23	54	facebook/blenderbot-3B	6	10	25	20
