sweep,model,config,param,win_rate,bt_score,bt_rank
beam,blenderbot-3b,k=1,1,0.0,0.00494,4
beam,blenderbot-3b,k=3,3,0.0,0.0302,3
beam,blenderbot-3b,k=5,5,0.1,0.11172,2
beam,blenderbot-3b,k=10,10,0.9,0.85314,1
beam,Qwen3.5-2B,k=1,1,0.0333,0.03957,4
beam,Qwen3.5-2B,k=3,3,0.1,0.11602,3
beam,Qwen3.5-2B,k=5,5,0.3667,0.45016,1
beam,Qwen3.5-2B,k=10,10,0.5,0.39424,2
beam,llama-3.2-1b,k=1,1,0.1333,0.08473,4
beam,llama-3.2-1b,k=3,3,0.1667,0.2346,3
beam,llama-3.2-1b,k=5,5,0.3,0.29074,2
beam,llama-3.2-1b,k=10,10,0.4,0.38994,1
beam,gemma-4-E2B-it,k=1,1,0.0333,0.01701,4
beam,gemma-4-E2B-it,k=3,3,0.0,0.05221,3
beam,gemma-4-E2B-it,k=5,5,0.1,0.15819,2
beam,gemma-4-E2B-it,k=10,10,0.8667,0.77258,1
beam,gemma_prompted,k=1,1,0.0667,0.04725,4
beam,gemma_prompted,k=3,3,0.0667,0.09901,3
beam,gemma_prompted,k=5,5,0.1333,0.30526,2
beam,gemma_prompted,k=10,10,0.7333,0.54849,1
decay,Qwen3.5-2B,geometric_0.5,geometric_0.5,0.1538,0.16038,2
decay,Qwen3.5-2B,geometric_0.97,geometric_0.97,0.8462,0.83962,1
decay,blenderbot-3b,geometric_0.5,geometric_0.5,0.0333,0.14296,3
decay,blenderbot-3b,geometric_0.97,geometric_0.97,0.5,0.49973,1
decay,blenderbot-3b,powerlaw_beta,powerlaw_beta,0.4667,0.35731,2
decay,dialogpt-medium,geometric_0.5,geometric_0.5,0.2143,0.21209,3
decay,dialogpt-medium,geometric_0.97,geometric_0.97,0.25,0.27188,2
decay,dialogpt-medium,powerlaw_beta,powerlaw_beta,0.5357,0.51602,1
topk,blenderbot-3b,top_k=5,5,0.2,0.09951,5
topk,blenderbot-3b,top_k=10,10,0.0333,0.1057,4
topk,blenderbot-3b,top_k=20,20,0.2,0.24218,2
topk,blenderbot-3b,top_k=50,50,0.3333,0.42882,1
topk,blenderbot-3b,top_k=100,100,0.2333,0.12378,3
topk,Qwen3.5-2B,top_k=5,5,0.2,0.12895,4
topk,Qwen3.5-2B,top_k=10,10,0.0667,0.08355,5
topk,Qwen3.5-2B,top_k=20,20,0.1,0.14392,3
topk,Qwen3.5-2B,top_k=50,50,0.0667,0.22113,2
topk,Qwen3.5-2B,top_k=100,100,0.5667,0.42245,1
topk,llama-3.2-1b,top_k=5,5,0.1,0.04966,5
topk,llama-3.2-1b,top_k=10,10,0.1333,0.13859,4
topk,llama-3.2-1b,top_k=20,20,0.1333,0.18955,3
topk,llama-3.2-1b,top_k=50,50,0.2333,0.28237,2
topk,llama-3.2-1b,top_k=100,100,0.4,0.33982,1
topk,gemma-4-E2B-it,top_k=5,5,0.0333,0.02957,5
topk,gemma-4-E2B-it,top_k=10,10,0.0667,0.0704,4
topk,gemma-4-E2B-it,top_k=20,20,0.0333,0.16785,3
topk,gemma-4-E2B-it,top_k=50,50,0.2333,0.32688,2
topk,gemma-4-E2B-it,top_k=100,100,0.6333,0.4053,1
topk,gemma_prompted,top_k=5,5,0.1,0.06528,5
topk,gemma_prompted,top_k=10,10,0.1667,0.15195,4
topk,gemma_prompted,top_k=20,20,0.1,0.20207,3
topk,gemma_prompted,top_k=50,50,0.1667,0.27746,2
topk,gemma_prompted,top_k=100,100,0.4667,0.30324,1
weight,Qwen3.5-2B,w=-50.0,-50,0.0,0.00743,9
weight,Qwen3.5-2B,w=0,0,0.0333,0.02732,8
weight,Qwen3.5-2B,w=17,17,0.1333,0.07089,7
weight,Qwen3.5-2B,w=33,33,0.0667,0.08885,6
weight,Qwen3.5-2B,w=50,50,0.1333,0.09156,5
weight,Qwen3.5-2B,w=67,67,0.1667,0.19277,2
weight,Qwen3.5-2B,w=83,83,0.1,0.13148,4
weight,Qwen3.5-2B,w=100,100,0.2,0.22995,1
weight,Qwen3.5-2B,w=200.0,200,0.1667,0.15974,3
weight,blenderbot-3b,w=-50.0,-50,0.0333,0.01336,9
weight,blenderbot-3b,w=0,0,0.1333,0.05528,8
weight,blenderbot-3b,w=17,17,0.1,0.08292,6
weight,blenderbot-3b,w=33,33,0.0,0.06413,7
weight,blenderbot-3b,w=50,50,0.0,0.09193,5
weight,blenderbot-3b,w=67,67,0.1667,0.16706,3
weight,blenderbot-3b,w=83,83,0.0,0.10301,4
weight,blenderbot-3b,w=100,100,0.4333,0.25456,1
weight,blenderbot-3b,w=150.0,150,0.1333,0.16775,2
weight,gemma-4-E2B-it,w=-3000.0,-3000,0.0,0.00507,7
weight,gemma-4-E2B-it,w=0,0,0.0333,0.04986,6
weight,gemma-4-E2B-it,w=1000,1000,0.3,0.19805,2
weight,gemma-4-E2B-it,w=6000,6000,0.0667,0.12471,5
weight,gemma-4-E2B-it,w=12000,12000,0.0333,0.16026,4
weight,gemma-4-E2B-it,w=18000,18000,0.3,0.28251,1
weight,gemma-4-E2B-it,w=40000.0,40000,0.2667,0.17955,3
weight,gemma_prompted,w=-3000.0,-3000,0.0333,0.02582,9
weight,gemma_prompted,w=0.0,0,0.0,0.04518,8
weight,gemma_prompted,w=1000,1000,0.0333,0.06573,7
weight,gemma_prompted,w=1500.0,1500,0.0667,0.09289,6
weight,gemma_prompted,w=3000.0,3000,0.2,0.11723,5
weight,gemma_prompted,w=6000,6000,0.1,0.13336,4
weight,gemma_prompted,w=12000,12000,0.0667,0.17621,2
weight,gemma_prompted,w=18000,18000,0.4,0.20945,1
weight,gemma_prompted,w=30000.0,30000,0.1,0.13413,3
weight,llama-3.2-1b,w=-150.0,-150,0.0,0.0046,9
weight,llama-3.2-1b,w=0,0,0.0,0.01878,8
weight,llama-3.2-1b,w=50,50,0.1,0.09438,5
weight,llama-3.2-1b,w=100,100,0.1,0.08551,6
weight,llama-3.2-1b,w=150,150,0.0,0.0763,7
weight,llama-3.2-1b,w=200,200,0.2333,0.17042,2
weight,llama-3.2-1b,w=250,250,0.0333,0.13504,3
weight,llama-3.2-1b,w=300,300,0.1333,0.13376,4
weight,llama-3.2-1b,w=400.0,400,0.4,0.2812,1
