sweep,model,param,value,n_turns,median_latency_s,iqr_lo_s,iqr_hi_s,median_ms_per_word
beam,Qwen3.5-2B,num_samples,1,125,18.765,18.518,19.002,569.25
beam,Qwen3.5-2B,num_samples,3,125,11.881,11.44,12.193,384.53
beam,Qwen3.5-2B,num_samples,5,125,12.345,11.903,13.183,413.47
beam,Qwen3.5-2B,num_samples,10,125,14.906,13.818,16.021,572.79
beam,blenderbot-3b,num_samples,1,125,2.996,1.999,4.026,143.53
beam,blenderbot-3b,num_samples,3,125,3.313,1.819,4.219,147.75
beam,blenderbot-3b,num_samples,5,125,3.597,2.882,3.821,183.4
beam,blenderbot-3b,num_samples,10,125,3.683,2.214,4.056,178.34
beam,gemma_prompted,num_samples,1,125,6.529,4.831,6.931,205.64
beam,gemma_prompted,num_samples,3,125,8.674,7.66,9.328,283.71
beam,gemma_prompted,num_samples,5,125,8.901,8.361,9.522,336.91
beam,gemma_prompted,num_samples,10,125,9.892,8.992,11.551,392.32
beam,llama-3.2-1b,num_samples,1,125,1.433,0.825,2.2,65.87
beam,llama-3.2-1b,num_samples,3,125,2.36,2.15,2.953,104.19
beam,llama-3.2-1b,num_samples,5,125,3.977,3.115,4.668,157.12
beam,llama-3.2-1b,num_samples,10,125,4.088,3.073,4.525,163.44
topk,Qwen3.5-2B,top_k,5,125,47.076,44.339,51.258,1559.39
topk,Qwen3.5-2B,top_k,10,125,36.644,29.705,46.43,1326.09
topk,Qwen3.5-2B,top_k,20,125,35.614,28.73,47.628,1355.99
topk,Qwen3.5-2B,top_k,50,125,17.917,12.098,22.127,615.93
topk,Qwen3.5-2B,top_k,100,125,19.611,14.492,22.635,676.45
topk,blenderbot-3b,top_k,5,125,6.236,5.854,6.32,383.23
topk,blenderbot-3b,top_k,10,125,6.176,5.869,6.306,393.65
topk,blenderbot-3b,top_k,20,125,6.286,6.053,6.328,349.49
topk,blenderbot-3b,top_k,50,125,6.284,6.0,6.346,349.79
topk,blenderbot-3b,top_k,100,125,6.269,6.023,6.325,353.38
topk,gemma-4-E2B-it,top_k,5,125,14.239,13.249,15.306,542.82
topk,gemma-4-E2B-it,top_k,10,125,13.441,12.396,14.912,531.05
topk,gemma-4-E2B-it,top_k,20,125,12.988,11.389,14.242,464.67
topk,gemma-4-E2B-it,top_k,50,125,10.04,9.558,11.472,399.41
topk,gemma-4-E2B-it,top_k,100,125,13.393,12.326,14.708,538.55
topk,gemma_prompted,top_k,5,125,10.228,9.491,10.696,385.16
topk,gemma_prompted,top_k,10,125,26.353,14.493,27.848,919.21
topk,gemma_prompted,top_k,20,125,20.689,15.239,28.003,833.99
topk,gemma_prompted,top_k,50,125,17.148,15.299,20.445,719.81
topk,gemma_prompted,top_k,100,125,14.874,13.47,16.585,558.54
topk,llama-3.2-1b,top_k,5,125,2.762,2.555,3.007,100.33
topk,llama-3.2-1b,top_k,10,125,2.79,2.478,3.03,119.47
topk,llama-3.2-1b,top_k,20,125,2.588,2.398,2.822,109.73
topk,llama-3.2-1b,top_k,50,125,2.597,2.43,2.744,136.84
topk,llama-3.2-1b,top_k,100,125,2.739,2.417,2.951,127.16
decay,Qwen3.5-2B,decay,geometric_0.5,1899,14.779,13.806,16.176,543.01
decay,Qwen3.5-2B,decay,geometric_0.97,1899,14.771,13.737,16.087,525.08
decay,blenderbot-3b,decay,geometric_0.5,1899,6.446,5.361,6.903,329.76
decay,blenderbot-3b,decay,geometric_0.97,1899,6.595,5.538,6.974,321.44
decay,blenderbot-3b,decay,power_law_-0.448616,1899,6.518,5.525,6.922,327.93
decay,dialogpt-medium,decay,geometric_0.5,1899,1.117,0.986,1.241,110.66
decay,dialogpt-medium,decay,geometric_0.97,1899,1.141,1.01,1.275,108.75
decay,dialogpt-medium,decay,power_law_-0.448616,1899,1.139,1.006,1.279,108.84
weight,Qwen3.5-2B,weight,-50.0,125,5.52,5.269,6.02,191.72
weight,Qwen3.5-2B,weight,0,125,23.073,21.56,25.115,846.07
weight,Qwen3.5-2B,weight,17,125,21.569,20.097,23.978,786.7
weight,Qwen3.5-2B,weight,33,125,22.082,19.999,23.956,793.75
weight,Qwen3.5-2B,weight,50,125,21.546,19.695,23.232,753.9
weight,Qwen3.5-2B,weight,67,125,20.745,19.259,23.314,729.67
weight,Qwen3.5-2B,weight,83,125,21.154,19.956,23.863,777.04
weight,Qwen3.5-2B,weight,100,125,21.124,19.64,23.198,799.29
weight,Qwen3.5-2B,weight,200.0,125,5.771,5.362,6.195,206.81
weight,blenderbot-3b,weight,-50.0,125,1.903,1.791,2.112,105.78
weight,blenderbot-3b,weight,0,125,1.409,1.361,1.437,67.51
weight,blenderbot-3b,weight,17,125,4.493,4.162,4.683,250.74
weight,blenderbot-3b,weight,33,125,4.529,4.261,4.666,256.84
weight,blenderbot-3b,weight,50,125,4.539,4.226,4.676,243.69
weight,blenderbot-3b,weight,67,125,4.569,4.271,4.674,254.72
weight,blenderbot-3b,weight,83,125,4.528,4.339,4.675,230.05
weight,blenderbot-3b,weight,100,125,4.541,4.271,4.704,238.31
weight,blenderbot-3b,weight,150.0,125,1.859,1.751,1.986,98.94
weight,gemma-4-E2B-it,weight,-3000.0,125,11.15,9.978,13.786,469.81
